PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1623052_at,HDC08765,---,---,---
1623053_a_at,CG5174,CG5174,FBgn0034345,---
1623054_at,HDC05276,---,---,---
1623055_at,CG9254,CG9254,FBgn0028513,0006810 // transport // inferred from electronic annotation
1623056_at,S.C3R003670,---,---,---
1623057_at,HDC02699,---,---,---
1623058_at,CG32676,CG32676,FBgn0052676,0006464 // protein modification process // inferred from electronic annotation /// 0009987 // cellular process // inferred from mutant phenotype
1623059_at,HDC07554,---,---,---
1623060_at,CG15757,Cpr12A,FBgn0030494,---
1623061_at,CG10561,CG10561,FBgn0002036,---
1623062_at,CG13535,CG13535,FBgn0034787,---
1623063_at,CG12191,dpr20,FBgn0035170,---
1623064_at,HDC02490,---,---,---
1623065_at,CG13692,CG13692,FBgn0031254,0006471 // protein amino acid ADP-ribosylation // inferred from sequence or structural similarity
1623066_at,CG10369,Irk3,FBgn0032706,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006813 // potassium ion transport // inferred from electronic annotation
1623067_at,Dm.3R.43582.0,---,---,---
1623068_at,CG4105,Cyp4e3,FBgn0015035,0055114 // oxidation reduction // inferred from electronic annotation
1623069_s_at,CG17544,CG17544,FBgn0032775,0006631 // fatty acid metabolic process // inferred from electronic annotation /// 0006635 // fatty acid beta-oxidation // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1623070_a_at,CG2822,Shaw,FBgn0003386,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006813 // potassium ion transport // inferred from electronic annotation /// 0006813 // potassium ion transport // non-traceable author statement /// 0006813 // potassium ion transport // traceable author statement
1623071_at,HDC14088,---,---,---
1623072_at,CG7709,CG7709,FBgn0038642,---
1623073_s_at,CG6998,ctp,FBgn0011760,0007017 // microtubule-based process // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from sequence or structural similarity /// 0007283 // spermatogenesis // inferred from mutant phenotype /// 0007290 // spermatid nucleus elongation // inferred from mutant phenotype /// 0007291 // sperm individualization // inferred from mutant phenotype /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0008407 // bristle morphogenesis // inferred from mutant phenotype /// 0022416 // bristle development // inferred from mutant phenotype /// 0035220 // wing disc development // inferred from mutant phenotype /// 0048477 // oogenesis // inferred from mutant phenotype /// 0051017 // actin filament bundle formation // inferred from mutant phenotype
1623074_at,S.C3L002031,---,---,---
1623075_at,HDC11776,---,---,---
1623076_at,CG32803,CG32803,FBgn0052803,---
1623077_at,Dm.2L.2364.0,---,---,---
1623078_at,HDC15931,---,---,---
1623079_at,HDC20578,---,---,---
1623080_at,CG18410,CG18410,FBgn0039226,---
1623081_at,CG3776,Jhebp29,FBgn0035088,---
1623082_s_at,HDC03674,---,---,---
1623083_at,CG1698,CG1698,FBgn0033443,0006810 // transport // inferred from electronic annotation /// 0006836 // neurotransmitter transport // inferred from sequence or structural similarity /// 0006836 // neurotransmitter transport // inferred from electronic annotation
1623084_at,CG2621,sgg,FBgn0003371,"0006355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from direct assay /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0007219 // Notch signaling pathway // traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007350 // blastoderm segmentation // non-traceable author statement /// 0007367 // segment polarity determination // inferred from mutant phenotype /// 0007367 // segment polarity determination // inferred from electronic annotation /// 0007423 // sensory organ development // inferred from mutant phenotype /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0007507 // heart development // non-traceable author statement /// 0007507 // heart development // traceable author statement /// 0007622 // rhythmic behavior // traceable author statement /// 0007623 // circadian rhythm // inferred from mutant phenotype /// 0007623 // circadian rhythm // non-traceable author statement /// 0007623 // circadian rhythm // traceable author statement /// 0008104 // protein localization // traceable author statement /// 0008355 // olfactory learning // inferred from mutant phenotype /// 0008407 // bristle morphogenesis // non-traceable author statement /// 0008589 // regulation of smoothened signaling pathway // non-traceable author statement /// 0009649 // entrainment of circadian clock // inferred from mutant phenotype /// 0016055 // Wnt receptor signaling pathway // traceable author statement /// 0030162 // regulation of proteolysis // inferred from direct assay /// 0030162 // regulation of proteolysis // traceable author statement /// 0030178 // negative regulation of Wnt receptor signaling pathway // traceable author statement /// 0030707 // ovarian follicle cell development // inferred from mutant phenotype /// 0035309 // wing and notum subfield formation // inferred from mutant phenotype /// 0042306 // regulation of protein import into nucleus // traceable author statement /// 0042752 // regulation of circadian rhythm // inferred from mutant phenotype /// 0045475 // locomotor rhythm // non-traceable author statement /// 0045610 // regulation of hemocyte differentiation // inferred from mutant phenotype /// 0045879 // negative regulation of smoothened signaling pathway // inferred from direct assay /// 0045879 // negative regulation of smoothened signaling pathway // inferred from mutant phenotype /// 0045879 // negative regulation of smoothened signaling pathway // traceable author statement /// 0046959 // habituation // inferred from mutant phenotype /// 0048477 // oogenesis // inferred from mutant phenotype /// 0051124 // synaptic growth at neuromuscular junction // inferred from mutant phenotype"
1623085_at,CG12637,CG12637,FBgn0030224,---
1623086_at,CG1119,Gnf1,FBgn0004913,"0006260 // DNA replication // inferred from electronic annotation /// 0006260 // DNA replication // non-traceable author statement /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation"
1623087_at,CG32239,Gef64C,FBgn0035574,"0007411 // axon guidance // inferred from mutant phenotype /// 0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation /// 0035277 // spiracle morphogenesis, open tracheal system // inferred from genetic interaction"
1623088_at,CG10855,CG10855,FBgn0035461,---
1623089_at,CG17934,Mst84Db,FBgn0004173,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007283 // spermatogenesis // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation
1623090_at,CG30390,CG30390,FBgn0050390,---
1623091_at,CG12644,CG12644,FBgn0040940,---
1623092_at,CG3440,Pcp,FBgn0003046,---
1623093_at,CG13188,CG13188,FBgn0033668,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation"
1623094_at,CG12843,Tsp42Ei,FBgn0033130,---
1623095_at,HDC02011,---,---,---
1623096_a_at,CG32136,Tsp68C,FBgn0043550,0030097 // hemopoiesis // non-traceable author statement
1623097_at,CG31920,CG31920,FBgn0051920,---
1623098_at,CG30323,CG30323,FBgn0050323,---
1623099_at,HDC12020,---,---,---
1623100_at,CG6582,Aac11,FBgn0027885,0006916 // anti-apoptosis // inferred from sequence or structural similarity
1623101_at,CG7035,Cbp80,FBgn0022942,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0016070 // RNA metabolic process // inferred from electronic annotation"
1623102_at,CG2227,Gip,FBgn0011770,---
1623103_at,CG14946,CG14946,FBgn0032405,0008152 // metabolic process // inferred from electronic annotation
1623104_at,CG32438,Smc5,FBgn0052438,0000070 // mitotic sister chromatid segregation // non-traceable author statement /// 0007067 // mitosis // non-traceable author statement
1623105_at,CG18672,CG18672,FBgn0040628,0006730 // one-carbon compound metabolic process // inferred from electronic annotation
1623106_s_at,CG7583,CtBP,FBgn0020496,"0000122 // negative regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0001700 // embryonic development via the syncytial blastoderm // inferred from mutant phenotype /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0016055 // Wnt receptor signaling pathway // inferred from genetic interaction /// 0055114 // oxidation reduction // inferred from electronic annotation"
1623107_at,CG10459,CG10459,FBgn0033440,---
1623108_at,CG3183,geminin,FBgn0033081,0007307 // eggshell chorion gene amplification // traceable author statement /// 0008156 // negative regulation of DNA replication // inferred from direct assay /// 0008156 // negative regulation of DNA replication // inferred from mutant phenotype /// 0008156 // negative regulation of DNA replication // non-traceable author statement /// 0008156 // negative regulation of DNA replication // traceable author statement /// 0008156 // negative regulation of DNA replication // inferred from electronic annotation /// 0051726 // regulation of cell cycle // inferred from sequence or structural similarity
